full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"devolver","devuelvo","devuelves","devuelve","devolvemos","devolvéis","devuelven","devolvía","devolvías","devolvía","devolvíamos","devolvíais","devolvían","devolví","devolviste","devolvió","devolvimos","devolvisteis","devolvieron","devolveré","devolverás","devolverá","devolveremos","devolveréis","devolverán","devolvería","devolverías","devolvería","devolveríamos","devolveríais","devolverían","devuelva","devuelvas","devuelva","devolvamos","devolváis","devuelvan","devolviera","devolvieras","devolviera","devolviéramos","devolvierais","devolvieran",,"devuelve","devuelva","devolvamos","devolved","devuelvan",,"devuelvas","devuelva","devolvamos","devolváis","devuelvan","devolviendo","devuelto","devuelto"
"doler","duelo","dueles","duele","dolemos","doléis","duelen","dolía","dolías","dolía","dolíamos","dolíais","dolían","dolí","doliste","dolió","dolimos","dolisteis","dolieron","doleré","dolerás","dolerá","doleremos","doleréis","dolerán","dolería","dolerías","dolería","doleríamos","doleríais","dolerían","duela","duelas","duela","dolamos","doláis","duelan","doliera","dolieras","doliera","doliéramos","dolierais","dolieran",,"duele","duela","dolamos","doled","duelan",,"duelas","duela","dolamos","doláis","duelan","doliendo","dolido","dolido"
"encontrar","encuentro","encuentras","encuentra","encontramos","encontráis","encuentran","encontraba","encontrabas","encontraba","encontrábamos","encontrabais","encontraban","encontré","encontraste","encontró","encontramos","encontrasteis","encontraron","encontraré","encontrarás","encontrará","encontraremos","encontraréis","encontrarán","encontraría","encontrarías","encontraría","encontraríamos","encontraríais","encontrarían","encuentre","encuentres","encuentre","encontremos","encontréis","encuentren","encontrara","encontraras","encontrara","encontráramos","encontrarais","encontraran",,"encuentra","encuentre","encontremos","encontrad","encuentren",,"encuentres","encuentre","encontremos","encontréis","encuentren","encontrando","encontrado","encontrado"
"envolver","envuelvo","envuelves","envuelve","envolvemos","envolvéis","envuelven","envolvía","envolvías","envolvía","envolvíamos","envolvíais","envolvían","envolví","envolviste","envolvió","envolvimos","envolvisteis","envolvieron","envolveré","envolverás","envolverá","envolveremos","envolveréis","envolverán","envolvería","envolverías","envolvería","envolveríamos","envolveríais","envolverían","envuelva","envuelvas","envuelva","envolvamos","envolváis","envuelvan","envolviera","envolvieras","envolviera","envolviéramos","envolvierais","envolvieran",,"envuelve","envuelva","envolvamos","envolved","envuelvan",,"envuelvas","envuelva","envolvamos","envolváis","envuelvan","envolviendo","envuelto","envuelto"
"llover",,,"llueve",,,,,,"llovía",,,,,,"llovió",,,,,,"lloverá",,,,,,"llovería",,,,,,"llueva",,,,,,"lloviera",,,,,,"llueva",,,,,,"llueva",,,,"lloviendo","llovido","llovido"
"morder","muerdo","muerdes","muerde","mordemos","mordéis","muerden","mordía","mordías","mordía","mordíamos","mordíais","mordían","mordí","mordiste","mordió","mordimos","mordisteis","mordieron","morderé","morderás","morderá","morderemos","morderéis","morderán","mordería","morderías","mordería","morderíamos","morderíais","morderían","muerda","muerdas","muerda","mordamos","mordáis","muerdan","mordiera","mordieras","mordiera","mordiéramos","mordierais","mordieran",,"muerde","muerda","mordamos","morded","muerdan",,"muerdas","muerda","mordamos","mordáis","muerdan","mordiendo","mordido","mordido"
"mostrar","muestro","muestras","muestra","mostramos","mostráis","muestran","mostraba","mostrabas","mostraba","mostrábamos","mostrabais","mostraban","mostré","mostraste","mostró","mostramos","mostrasteis","mostraron","mostraré","mostrarás","mostrará","mostraremos","mostraréis","mostrarán","mostraría","mostrarías","mostraría","mostraríamos","mostraríais","mostrarían","muestre","muestres","muestre","mostremos","mostréis","muestren","mostrara","mostraras","mostrara","mostráramos","mostrarais","mostraran",,"muestra","muestre","mostremos","mostrad","muestren",,"muestres","muestre","mostremos","mostréis","muestren","mostrando","mostrado","mostrado"
"mover","muevo","mueves","mueve","movemos","movéis","mueven","movía","movías","movía","movíamos","movíais","movían","moví","moviste","movió","movimos","movisteis","movieron","moveré","moverás","moverá","moveremos","moveréis","moverán","movería","moverías","movería","moveríamos","moveríais","moverían","mueva","muevas","mueva","movamos","mováis","muevan","moviera","movieras","moviera","moviéramos","movierais","movieran",,"mueve","mueva","movamos","moved","muevan",,"muevas","mueva","movamos","mováis","muevan","moviendo","movido","movido"
"oler","huelo","hueles","huele","olemos","oléis","huelen","olía","olías","olía","olíamos","olíais","olían","olí","oliste","olió","olimos","olisteis","olieron","oleré","olerás","olerá","oleremos","oleréis","olerán","olería","olerías","olería","oleríamos","oleríais","olerían","huela","huelas","huela","olamos","oláis","huelan","oliera","olieras","oliera","oliéramos","olierais","olieran",,"huele","huela","olamos","oled","huelan",,"huelas","huela","olamos","oláis","huelan","oliendo","olido","olido"
"poder","puedo","puedes","puede","podemos","podéis","pueden","podía","podías","podía","podíamos","podíais","podían","pude","pudiste","pudo","pudimos","pudisteis","pudieron","podré","podrás","podrá","podremos","podréis","podrán","podría","podrías","podría","podríamos","podríais","podrían","pueda","puedas","pueda","podamos","podáis","puedan","pudiera","pudieras","pudiera","pudiéramos","pudierais","pudieran",,"puede","pueda","podamos","poded","puedan",,"puedas","pueda","podamos","podáis","puedan","pudiendo","podido","podido"
"probar","pruebo","pruebas","prueba","probamos","probáis","prueban","probaba","probabas","probaba","probábamos","probabais","probaban","probé","probaste","probó","probamos","probasteis","probaron","probaré","probarás","probará","probaremos","probaréis","probarán","probaría","probarías","probaría","probaríamos","probaríais","probarían","pruebe","pruebes","pruebe","probemos","probéis","prueben","probara","probaras","probara","probáramos","probarais","probaran",,"prueba","pruebe","probemos","probad","prueben",,"pruebes","pruebe","probemos","probéis","prueben","probando","probado","probado"
"probarse","me pruebo","te pruebas","se prueba","nos probamos","os probáis","se prueban","me probaba","te probabas","se probaba","nos probábamos","os probabais","se probaban","me probé","te probaste","se probó","nos probamos","os probasteis","se probaron","me probaré","te probarás","se probará","nos probaremos","os probaréis","se probarán","me probaría","te probarías","se probaría","nos probaríamos","os probaríais","se probarían","me pruebe","te pruebes","se pruebe","nos probemos","os probéis","se prueben","me probara","te probaras","se probara","nos probáramos","os probarais","se probaran",,"pruébate","pruébese","probémonos","probaos","pruébense",,"te pruebes","pruébese","probémonos","os probéis","pruébense","probándose","probado","probado"
