full_phrase,appliedOverrides,doNotApply,base_verb,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete past_yo,incomplete past_tú,incomplete past_usted,incomplete past_nosotros,incomplete past_vosotros,incomplete past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present subjective_yo,present subjective_tú,present subjective_usted,present subjective_nosotros,present subjective_vosotros,present subjective_ustedes,past subjective_yo,past subjective_tú,past subjective_usted,past subjective_nosotros,past subjective_vosotros,past subjective_ustedes,imperative positive_yo,imperative positive_tú,imperative positive_usted,imperative positive_nosotros,imperative positive_vosotros,imperative positive_ustedes,imperative negative_yo,imperative negative_tú,imperative negative_usted,imperative negative_nosotros,imperative negative_vosotros,imperative negative_ustedes,gerund,past participle,
"acostarse","[u'o:ue', u'o:ue_1sp', 'pres_sub_inf']",,"acostar","me acuesto","te acuestas","se acuesta","nos acostamos","os acostáis","se acuestan","me acostaba","te acostabas","se acostaba","nos acostábamos","os acostabais","se acostaban","me acosté","te acostaste","se acostó","nos acostamos","os acostasteis","se acostaron","me acostaré","te acostarás","se acostará","nos acostaremos","os acostaréis","se acostarán","me acostaría","te acostarías","se acostaría","nos acostaríamos","os acostaríais","se acostarían","me acueste","te acuestes","se acueste","nos acostemos","os acostéis","se acuesten","me acostara","te acostaras","se acostara","nos acostáramos","os acostarais","se acostaran",,"acuéstate","acuéstese","acostémonos","acostaos","acuéstense",,"te acuestes","acuéstese","acostémonos","os acostéis","acuéstense","acostándose","acostado"
"acostumbrar",,,,"acostumbro","acostumbras","acostumbra","acostumbramos","acostumbráis","acostumbran","acostumbraba","acostumbrabas","acostumbraba","acostumbrábamos","acostumbrabais","acostumbraban","acostumbré","acostumbraste","acostumbró","acostumbramos","acostumbrasteis","acostumbraron","acostumbraré","acostumbrarás","acostumbrará","acostumbraremos","acostumbraréis","acostumbrarán","acostumbraría","acostumbrarías","acostumbraría","acostumbraríamos","acostumbraríais","acostumbrarían","acostumbre","acostumbres","acostumbre","acostumbremos","acostumbréis","acostumbren","acostumbrara","acostumbraras","acostumbrara","acostumbráramos","acostumbrarais","acostumbraran",,"acostumbra","acostumbre","acostumbremos","acostumbrad","acostumbren",,"acostumbres","acostumbre","acostumbremos","acostumbréis","acostumbren","acostumbrando","acostumbrado"
"acuchillar",,,,"acuchillo","acuchillas","acuchilla","acuchillamos","acuchilláis","acuchillan","acuchillaba","acuchillabas","acuchillaba","acuchillábamos","acuchillabais","acuchillaban","acuchillé","acuchillaste","acuchilló","acuchillamos","acuchillasteis","acuchillaron","acuchillaré","acuchillarás","acuchillará","acuchillaremos","acuchillaréis","acuchillarán","acuchillaría","acuchillarías","acuchillaría","acuchillaríamos","acuchillaríais","acuchillarían","acuchille","acuchilles","acuchille","acuchillemos","acuchilléis","acuchillen","acuchillara","acuchillaras","acuchillara","acuchilláramos","acuchillarais","acuchillaran",,"acuchilla","acuchille","acuchillemos","acuchillad","acuchillen",,"acuchilles","acuchille","acuchillemos","acuchilléis","acuchillen","acuchillando","acuchillado"
"acudir",,,,"acudo","acudes","acude","acudimos","acudís","acuden","acudía","acudías","acudía","acudíamos","acudíais","acudían","acudí","acudiste","acudió","acudimos","acudisteis","acudieron","acudiré","acudirás","acudirá","acudiremos","acudiréis","acudirán","acudiría","acudirías","acudiría","acudiríamos","acudiríais","acudirían","acuda","acudas","acuda","acudamos","acudáis","acudan","acudiera","acudieras","acudiera","acudiéramos","acudierais","acudieran",,"acude","acuda","acudamos","acudid","acudan",,"acudas","acuda","acudamos","acudáis","acudan","acudiendo","acudido"
"acusar",,,,"acuso","acusas","acusa","acusamos","acusáis","acusan","acusaba","acusabas","acusaba","acusábamos","acusabais","acusaban","acusé","acusaste","acusó","acusamos","acusasteis","acusaron","acusaré","acusarás","acusará","acusaremos","acusaréis","acusarán","acusaría","acusarías","acusaría","acusaríamos","acusaríais","acusarían","acuse","acuses","acuse","acusemos","acuséis","acusen","acusara","acusaras","acusara","acusáramos","acusarais","acusaran",,"acusa","acuse","acusemos","acusad","acusen",,"acuses","acuse","acusemos","acuséis","acusen","acusando","acusado"
"adelantar",,,,"adelanto","adelantas","adelanta","adelantamos","adelantáis","adelantan","adelantaba","adelantabas","adelantaba","adelantábamos","adelantabais","adelantaban","adelanté","adelantaste","adelantó","adelantamos","adelantasteis","adelantaron","adelantaré","adelantarás","adelantará","adelantaremos","adelantaréis","adelantarán","adelantaría","adelantarías","adelantaría","adelantaríamos","adelantaríais","adelantarían","adelante","adelantes","adelante","adelantemos","adelantéis","adelanten","adelantara","adelantaras","adelantara","adelantáramos","adelantarais","adelantaran",,"adelanta","adelante","adelantemos","adelantad","adelanten",,"adelantes","adelante","adelantemos","adelantéis","adelanten","adelantando","adelantado"
"adelantarse",,,"adelantar","me adelanto","te adelantas","se adelanta","nos adelantamos","os adelantáis","se adelantan","me adelantaba","te adelantabas","se adelantaba","nos adelantábamos","os adelantabais","se adelantaban","me adelanté","te adelantaste","se adelantó","nos adelantamos","os adelantasteis","se adelantaron","me adelantaré","te adelantarás","se adelantará","nos adelantaremos","os adelantaréis","se adelantarán","me adelantaría","te adelantarías","se adelantaría","nos adelantaríamos","os adelantaríais","se adelantarían","me adelante","te adelantes","se adelante","nos adelantemos","os adelantéis","se adelanten","me adelantara","te adelantaras","se adelantara","nos adelantáramos","os adelantarais","se adelantaran",,"adelántate","adelántese","adelantémonos","adelantaos","adelántense",,"te adelantes","adelántese","adelantémonos","os adelantéis","adelántense","adelantándose","adelantado"
"adivinar",,,,"adivino","adivinas","adivina","adivinamos","adivináis","adivinan","adivinaba","adivinabas","adivinaba","adivinábamos","adivinabais","adivinaban","adiviné","adivinaste","adivinó","adivinamos","adivinasteis","adivinaron","adivinaré","adivinarás","adivinará","adivinaremos","adivinaréis","adivinarán","adivinaría","adivinarías","adivinaría","adivinaríamos","adivinaríais","adivinarían","adivine","adivines","adivine","adivinemos","adivinéis","adivinen","adivinara","adivinaras","adivinara","adivináramos","adivinarais","adivinaran",,"adivina","adivine","adivinemos","adivinad","adivinen",,"adivines","adivine","adivinemos","adivinéis","adivinen","adivinando","adivinado"
"admirar",,,,"admiro","admiras","admira","admiramos","admiráis","admiran","admiraba","admirabas","admiraba","admirábamos","admirabais","admiraban","admiré","admiraste","admiró","admiramos","admirasteis","admiraron","admiraré","admirarás","admirará","admiraremos","admiraréis","admirarán","admiraría","admirarías","admiraría","admiraríamos","admiraríais","admirarían","admire","admires","admire","admiremos","admiréis","admiren","admirara","admiraras","admirara","admiráramos","admirarais","admiraran",,"admira","admire","admiremos","admirad","admiren",,"admires","admire","admiremos","admiréis","admiren","admirando","admirado"
"admitir",,,,"admito","admites","admite","admitimos","admitís","admiten","admitía","admitías","admitía","admitíamos","admitíais","admitían","admití","admitiste","admitió","admitimos","admitisteis","admitieron","admitiré","admitirás","admitirá","admitiremos","admitiréis","admitirán","admitiría","admitirías","admitiría","admitiríamos","admitiríais","admitirían","admita","admitas","admita","admitamos","admitáis","admitan","admitiera","admitieras","admitiera","admitiéramos","admitierais","admitieran",,"admite","admita","admitamos","admitid","admitan",,"admitas","admita","admitamos","admitáis","admitan","admitiendo","admitido"
