"phrase","definition","conjugation_overrides","manual_overrides","synonyms","notes"
"ob-tener","obtain,get",,"{""conjugations"":{""imperative_positive_second"":""obtén""}}"
"ocultarse","hide oneself"
"ocupar","occupy"
"ocurrir","occur,happen","3rd_only"
"ofrecer","offer"
"oír","hear","go",,,"note: check for y being inserted between o and e in present"
"oler","hear","o:ue"
"olvidar","forget"
"o-poner","oppose"
"ordenar","order,command,put in order,arrange"
"organizar","organize"
"osar","dare,venture"
"pagar","pay"
"parar","stop (someone or something)"
"pararse","stop oneself"
"parecer","seem,appear"
"parecerse","resemble each other,look alike"
"partir","leave,depart,divide,split"
"pasar","pass by,happen,spend (time)"
"pasearse","take a walk,parade"
"pedir","ask for,request","e:i"
"pegar","beat,hit,slap,stick,glue,paste"
"peinarse","comb one's hair"
"pensar","think","e:ie"
"percibir","perceive"
"perder","lose","e:ie"
"perdonar","pardon"
"permitir","permit,admit,grant,allow"
"pertenecer","pertain,appertain,belong"
"pintar","paint"
"pintarse","apply makeup"
"pisar","tread (on),step on,trample"
"placer","gratify,humor,please"
"platicar","chat,talk over,discuss"
"poder","be able to","r_only,o:ue_past_all,e_and_o"
"poner","put,place","go,e_and_o,e2d,pa_to,imp_inf_stem_only","{""conjugation_stems"":{""past"":""pus"",""past_participle"":""pues""}}"
"ponerse","put on (clothing),become,setting (of sun)"
"poseer","possess,own"
"practicar","practice"
"pre-decir","predict,forecast,foretell",,"{""conjugation_stems"":{""future_cond"":""predecir""},""conjugations"":{""imperative_positive_second"":""predice""}}"
"predicar","preach"
"preferir","prefer","e:ie"
"preguntar","ask,inquire,question"
"pre-ocupar-se","be concerned,worry,be worried"
"preparar","prepare"
"prepararse","be prepared,get ready,prepare oneself"
"presentar","present,display,show","regular"
"prestar","lend"
"principiar","begin"
"probar","test,prove,try,try on","o:ue"
"probarse","try on clothes"
"proclamar","proclaim,promulgate"
"producir","produce,cause"
"prohibir","prohibit,forbid"
"pronunciar","pronounce"
"proteger","protect"
"pulir","polish"
"quedarse","remain,stay"
"quejarse","complain,grumble"
"quemar","burn,fire"
